TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|CONSTRAINT_NAME
dbo|t75957_s_contador_funcionario|f75957_id_grupo_clase_docto|4|PK_t75957
dbo|t75958_s_asignacion_plantilla|f75958_rowid|1|PK_t75958
dbo|t75959_s_asignacion_ruta|f75959_rowid|1|PK_t75959
dbo|t7600_cc_competencias|f7600_rowid|1|PK_t7600
dbo|t7605_cc_perfiles_inspeccion|f7605_rowid|1|PK_t7605
dbo|t7606_cc_perfiles_inspec_comp|f7606_rowid_perfil|1|PK_t7606
dbo|t7606_cc_perfiles_inspec_comp|f7606_rowid_competencia|2|PK_t7606
dbo|t7607_cc_empleado_comp|f7607_id_cia|1|PK_t7607
dbo|t7607_cc_empleado_comp|f7607_id_empleado|2|PK_t7607
dbo|t7607_cc_empleado_comp|f7607_rowid_competencia|3|PK_t7607
dbo|t7608_cc_empleado_comp_movto|f7608_rowid|1|PK_t7608
dbo|t7609_cc_codigo_muestra|f7609_id_cia|1|PK_t7609
dbo|t7609_cc_codigo_muestra|f7609_id|2|PK_t7609
dbo|t7610_cc_nivel_insp_prov|f7610_id_cia|1|PK_t7610
dbo|t7610_cc_nivel_insp_prov|f7610_id|2|PK_t7610
dbo|t7611_cc_aql|f7611_id_cia|1|PK_t7611
dbo|t7611_cc_aql|f7611_id|2|PK_t7611
dbo|t7612_cc_muestra_lote|f7612_id_cia|1|PK_t7612
dbo|t7612_cc_muestra_lote|f7612_id_nivel_inspeccion|2|PK_t7612
dbo|t7612_cc_muestra_lote|f7612_cantidad_max|3|PK_t7612
dbo|t7613_cc_tabla_maestra_insp|f7613_rowid|1|PK_t7613
dbo|t7614_cc_clasificacion_prov|f7614_rowid|1|PK_t7614
dbo|t7615_cc_ruta_calidad|f7615_rowid|1|PK_t7615
dbo|t7616_cc_ruta_calidad_sec|f7616_rowid|1|PK_t7616
dbo|t7617_cc_items_instal_calidad|f7617_rowid|1|PK_t7617
dbo|t7618_cc_motivos_rechazo|f7618_rowid|1|PK_t7618
dbo|t7619_cc_clasificacion_calidad|f7619_id_cia|1|PK_t7619
dbo|t7619_cc_clasificacion_calidad|f7619_id|2|PK_t7619
dbo|t7620_cc_clase_solicitud|f7620_rowid|1|PK_t7620
dbo|t7621_cc_clase_solicitud_cpto|f7621_id_cia|1|PK_t7621
